BOOKID,Downloads,Author,Title,Year,Genre,Desc,Pub,Lang,Status
28,"1,629,119","Hosseini, Khaled","Kite Runner,The","Saturday, April 17, 2004",T16.0  Food & Drink: General,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,English,Approved
29,"1,616,068","Nicholls, David",One Day,"Thursday, February 4, 2010",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Hodder & Stoughton Grp,Chinese,Approved
30,"1,583,992","Hosseini, Khaled","Thousand Splendid Suns,A","Tuesday, May 22, 2007",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,English,Approved
31,"1,555,135","Larsson, Stieg","Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy","Saturday, January 23, 2010",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Quercus Grp,English,Pending
32,"1,546,886","Niffenegger, Audrey","Time Traveler's Wife,The","Saturday, May 29, 2004",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Pending
33,"1,539,428","McEwan, Ian",Atonement,"Thursday, May 2, 2002",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Pending
34,"1,508,205","Fielding, Helen",Bridget Jones's Diary:A Novel,"Friday, June 20, 1997",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Pan Macmillan Grp,Polish,Approved
35,"1,489,403","Clarkson, Jeremy","World According to Clarkson,The","Thursday, May 26, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Pending
36,"1,352,318","Bernieres, Louis de",Captain Corelli's Mandolin,"Thursday, June 1, 1995",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Approved
37,"1,310,207","Kay, Peter","Sound of Laughter,The","Thursday, October 5, 2006",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Approved
38,"1,310,176","Martel, Yann",Life of Pi,"Saturday, May 17, 2003",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Canongate Grp,English,Approved
39,"1,231,957","Stephenson, Pamela",Billy Connolly,"Saturday, June 29, 2002",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",HarperCollins Grp,English,Pending
40,"1,217,712","Pelzer, Dave","Child Called It,A","Thursday, January 4, 2001",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Orion Grp,Polish,Pending
41,"1,208,711","Donaldson, Julia","Gruffalo's Child,The","Friday, September 2, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Pan Macmillan Grp,English,Pending
42,"1,204,058","McCourt, Frank",Angela's Ashes:A Memoir of a Childhood,"Tuesday, May 6, 1997",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",HarperCollins Grp,English,Approved
43,"1,184,967","Faulks, Sebastian",Birdsong,"Monday, July 18, 1994",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Pending
44,"1,181,503","Pullman, Philip",Northern Lights:His Dark Materials S.,"Friday, October 23, 1998",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Scholastic Ltd. Grp,Chinese,Approved
45,"1,181,093","Mosse, Kate",Labyrinth,"Saturday, July 16, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Orion Grp,English,Approved
46,"1,153,181","Rowling, J.K.",Harry Potter and the Half-blood Prince,"Saturday, April 9, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,English,Approved
47,"1,132,336","Stockett, Kathryn","Help,The","Thursday, May 13, 2010",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Pending
48,"1,130,802","Parsons, Tony",Man and Boy,"Monday, March 6, 2000",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",HarperCollins Grp,English,Pending
49,"1,126,337","Golden, Arthur",Memoirs of a Geisha,"Thursday, June 4, 1998",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,Chinese,Pending
50,"1,115,549","McCall Smith, Alexander","No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S.","Thursday, June 5, 2003",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.","Little, Brown Book Grp",English,Approved
51,"1,108,328","Hislop, Victoria","Island,The","Monday, April 10, 2006",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Headline Grp,English,Pending
52,"1,107,379","Ahern, Cecelia","PS, I Love You","Saturday, March 27, 2004",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",HarperCollins Grp,Chinese,Approved
53,"1,104,403","McKeith, Gillian",You are What You Eat:The Plan That Will Change Your Life,"Thursday, June 17, 2004",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Approved
54,"1,092,349","Zafon, Carlos Ruiz","Shadow of the Wind,The","Wednesday, October 5, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Orion Grp,English,Approved
55,"1,090,847","Rowling, J.K.","Tales of Beedle the Bard,The","Saturday, August 2, 2008",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,English,Pending
56,"1,087,262","Grisham, John","Broker,The","Saturday, August 27, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Pending
57,"1,054,196","Atkins, Robert C.","Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Thursday, January 2, 2003",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Pending
58,"1,037,160","Pullman, Philip","Subtle Knife,The:His Dark Materials S.","Friday, October 16, 1998",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Scholastic Ltd. Grp,English,Approved
59,"1,023,688","Truss, Lynne","Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Thursday, November 6, 2003",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Profile Books Group,English,Pending
60,"1,015,956","Smith, Delia",Delia's How to Cook:(Bk.1),"Monday, October 12, 1998",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Approved
61,"1,009,873","Harris, Joanne",Chocolat,"Thursday, March 2, 2000",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,Polish,Approved
62,"1,004,414","Boyne, John","Boy in the Striped Pyjamas,The","Thursday, September 11, 2008",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Childrens Books G,English,Approved
63,"1,003,780","Picoult, Jodi",My Sister's Keeper,"Saturday, June 19, 2004",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Hodder & Stoughton Grp,English,Pending
64,"1,002,314","Pullman, Philip","Amber Spyglass,The:His Dark Materials S.","Friday, September 14, 2001",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Scholastic Ltd. Grp,English,Pending
65,"998,213","Lee, Harper",To Kill a Mockingbird,"Thursday, October 5, 1989",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Pending
66,"992,846","Gray, John","Men are from Mars, Women are from Venus:A Practical Guide for Improvin","Sunday, August 1, 1993",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",HarperCollins Grp,English,Approved
67,"986,753","French, Dawn",Dear Fatty,"Thursday, October 9, 2008",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,Polish,Pending
68,"986,115","Lewycka, Marina","Short History of Tractors in Ukrainian,A","Thursday, March 2, 2006",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Approved
69,"970,509","Harris, Thomas",Hannibal,"Thursday, May 18, 2000",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,Chinese,Approved
70,"967,466","Tolkien, J. R. R.","Lord of the Rings,The","Monday, June 5, 1995",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",HarperCollins Grp,English,Approved
71,"963,353","Moore, Michael",Stupid White Men:...and Other Sorry Excuses for the State of the Natio,"Thursday, October 3, 2002",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Pending
72,"962,515","Rubenfeld, Jed","Interpretation of Murder,The","Monday, January 15, 2007",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Headline Grp,English,Pending
73,"959,496","Osbourne, Sharon",Sharon Osbourne Extreme:My Autobiography,"Monday, October 3, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.","Little, Brown Book Grp",English,Pending
74,"956,114","Coelho, Paulo","Alchemist,The:A Fable About Following Your Dream","Saturday, January 3, 1998",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",HarperCollins Grp,Chinese,Approved
75,"945,640","O'Grady, Paul",At My Mother's Knee ...:and Other Low Joints,"Wednesday, September 24, 2008",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Pending
76,"931,312","Bryson, Bill",Notes from a Small Island,"Thursday, August 1, 1996",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Approved
77,"925,425","Oliver, Jamie","Return of the Naked Chef,The","Thursday, March 30, 2000",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,Polish,Approved
78,"924,695","Fielding, Helen",Bridget Jones: The Edge of Reason,"Thursday, June 15, 2000",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Pan Macmillan Grp,English,Approved
79,"906,968","Oliver, Jamie",Jamie's Italy,"Monday, October 3, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Pending
80,"905,086","McKenna, Paul",I Can Make You Thin,"Monday, January 17, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Pending
81,"890,847","Bryson, Bill",Down Under,"Saturday, May 5, 2001",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Pending
82,"869,671","Grisham, John","Summons,The","Saturday, September 28, 2002",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Approved
83,"869,659","Levy, Andrea",Small Island,"Monday, September 13, 2004",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Headline Grp,Chinese,Pending
84,"862,602","Lawson, Nigella",Nigella Express,"Thursday, September 6, 2007",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,Polish,Approved
85,"856,540","Ali, Monica",Brick Lane,"Saturday, May 1, 2004",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Approved
86,"845,858","Edwards, Kim","Memory Keeper's Daughter,The","Saturday, April 7, 2007",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Approved
87,"842,535","Donaldson, Julia",Room on the Broom,"Friday, September 20, 2002",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Pan Macmillan Grp,English,Pending
88,"828,215","Hornby, Nick",About a Boy,"Thursday, April 4, 2002",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Pending
89,"820,563","Brand, Russell",My Booky Wook,"Thursday, November 15, 2007",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Hodder & Stoughton Grp,English,Pending
90,"816,907","Dawkins, Richard","God Delusion,The","Monday, May 21, 2007",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Approved
91,"816,585",0,"""Beano"" Annual,The","Wednesday, September 1, 2004",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",D.C. Thomson Grp,Chinese,Pending
92,"815,586","Smith, Zadie",White Teeth,"Thursday, January 25, 2001",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Approved
93,"814,370","Morton, Kate","House at Riverton,The","Friday, June 15, 2007",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Pan Macmillan Grp,English,Approved
94,"809,641","Zusak, Markus","Book Thief,The","Saturday, September 8, 2007",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Approved
95,"808,900","Binchy, Maeve",Nights of Rain and Stars,"Wednesday, June 29, 2005",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Orion Grp,English,Pending
96,"807,311","Harris, Robert","Ghost,The","Thursday, July 3, 2008",,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,Chinese,Pending
